area_code,type,diocese,sa_2022_code,very_good,good,fair,bad,very_bad,not_stated
N20002055,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002071,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002072,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002073,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002074,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002075,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002076,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002077,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002078,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002079,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
N20002080,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA
047014001,ROI small area,"Cork, Cloyne and Ross",047014001,236,96,27,2,2,18
047034002,ROI small area,"Cork, Cloyne and Ross",047034002,204,99,22,1,1,22
047056001,ROI small area,"Cork, Cloyne and Ross",047056001,202,111,21,4,0,14
047300001,ROI small area,"Cork, Cloyne and Ross",047300001,148,92,24,4,1,4
067162001,ROI small area,"Tuam, Limerick and Killaloe",067162001,71,40,17,1,0,3
067078001/067078002,ROI small area,"Tuam, Limerick and Killaloe",067078001/067078002,150,89,22,1,0,10
157041002/157041004/157041003/157041001/157129002/157129001,ROI small area,"Tuam, Limerick and Killaloe",157041002/157041004/157041003/157041001/157129002/157129001,106,44,7,1,0,1
067069001,ROI small area,"Tuam, Limerick and Killaloe",067069001,121,89,23,1,0,2
157128002,ROI small area,"Tuam, Limerick and Killaloe",157128002,45,36,15,1,1,6
157077001/157077002,ROI small area,"Tuam, Limerick and Killaloe",157077001/157077002,61,31,8,2,0,10
157050001,ROI small area,"Tuam, Limerick and Killaloe",157050001,111,57,21,2,1,2
157004001,ROI small area,"Tuam, Limerick and Killaloe",157004001,50,34,19,3,1,3
157060003,ROI small area,"Tuam, Limerick and Killaloe",157060003,68,49,28,5,1,4
157100002,ROI small area,"Tuam, Limerick and Killaloe",157100002,206,115,40,9,1,7
157083001,ROI small area,"Tuam, Limerick and Killaloe",157083001,125,90,32,4,0,6
067069002,ROI small area,"Tuam, Limerick and Killaloe",067069002,68,57,17,2,2,3
157029001,ROI small area,"Tuam, Limerick and Killaloe",157029001,123,71,23,6,0,15
157007001/157007005,ROI small area,"Tuam, Limerick and Killaloe",157007001/157007005,69,44,13,6,0,10
157024001/157024004,ROI small area,"Tuam, Limerick and Killaloe",157024001/157024004,92,51,16,5,2,4
157040001,ROI small area,"Tuam, Limerick and Killaloe",157040001,21,34,14,0,0,2
157114001,ROI small area,"Tuam, Limerick and Killaloe",157114001,49,40,15,3,0,7
157071001,ROI small area,"Tuam, Limerick and Killaloe",157071001,85,81,26,2,0,8
157080001,ROI small area,"Tuam, Limerick and Killaloe",157080001,93,63,34,7,0,12
157032001,ROI small area,"Tuam, Limerick and Killaloe",157032001,37,30,18,5,1,8
157034001/157034002,ROI small area,"Tuam, Limerick and Killaloe",157034001/157034002,43,63,30,7,2,5
157082001/157136001,ROI small area,"Tuam, Limerick and Killaloe",157082001/157136001,33,34,13,2,0,5
077154001/077154002,ROI small area,"Tuam, Limerick and Killaloe",077154001/077154002,94,61,15,0,0,5
077011001,ROI small area,"Tuam, Limerick and Killaloe",077011001,66,31,13,3,0,8
077073001/077073002,ROI small area,"Tuam, Limerick and Killaloe",077073001/077073002,75,27,13,2,0,8
047188005,ROI small area,"Cork, Cloyne and Ross",047188005,98,59,23,1,0,5
047004002/047004006,ROI small area,"Cork, Cloyne and Ross",047004002/047004006,79,50,22,2,0,21
047002001/047002006,ROI small area,"Cork, Cloyne and Ross",047002001/047002006,85,44,11,3,1,5
047041005/047041001/047041004/047041002/047041003/047319001,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA
047251001,ROI small area,"Cork, Cloyne and Ross",047251001,131,77,21,2,2,7
047181001,ROI small area,"Cork, Cloyne and Ross",047181001,151,52,14,3,0,6
047177001,ROI small area,"Cork, Cloyne and Ross",047177001,187,70,24,1,0,9
077042002/077042003/077042004,ROI small area,"Tuam, Limerick and Killaloe",077042002/077042003/077042004,73,61,9,2,0,6
077042001,ROI small area,"Tuam, Limerick and Killaloe",077042001,101,62,23,2,1,10
077156001/077156002/077156003,ROI small area,"Tuam, Limerick and Killaloe",077156001/077156002/077156003,121,76,26,4,0,12
077009001,ROI small area,"Tuam, Limerick and Killaloe",077009001,113,58,18,4,0,3
077037001/077133001,ROI small area,"Tuam, Limerick and Killaloe",077037001/077133001,112,87,13,2,1,10
077064001,ROI small area,"Tuam, Limerick and Killaloe",077064001,94,66,23,4,1,10
077153005,ROI small area,"Tuam, Limerick and Killaloe",077153005,86,56,19,3,0,17
077026001,ROI small area,"Cork, Cloyne and Ross",077026001,183,55,15,1,0,13
077130001,ROI small area,"Tuam, Limerick and Killaloe",077130001,65,46,20,2,0,3
077084001,ROI small area,"Tuam, Limerick and Killaloe",077084001,88,44,8,0,0,12
077149001/077149002,ROI small area,"Tuam, Limerick and Killaloe",077149001/077149002,101,50,12,4,0,5
077038001,ROI small area,"Tuam, Limerick and Killaloe",077038001,121,70,14,2,0,5
077097001,ROI small area,"Tuam, Limerick and Killaloe",077097001,125,53,16,3,0,20
077141001,ROI small area,"Tuam, Limerick and Killaloe",077141001,129,71,25,1,0,24
077077001,ROI small area,"Tuam, Limerick and Killaloe",077077001,158,54,19,3,0,7
077077002,ROI small area,"Tuam, Limerick and Killaloe",077077002,102,66,16,1,0,0
077016001,ROI small area,"Tuam, Limerick and Killaloe",077016001,63,38,14,4,0,17
077062001,ROI small area,"Tuam, Limerick and Killaloe",077062001,114,56,19,6,0,6
077095001,ROI small area,"Tuam, Limerick and Killaloe",077095001,134,96,31,2,1,0
077056001,ROI small area,"Tuam, Limerick and Killaloe",077056001,198,76,21,2,3,10
077110001,ROI small area,"Tuam, Limerick and Killaloe",077110001,147,122,29,0,0,6
047167001,ROI small area,"Cork, Cloyne and Ross",047167001,141,56,16,2,1,6
077052001,ROI small area,"Tuam, Limerick and Killaloe",077052001,79,32,5,0,0,9
047272001,ROI small area,"Cork, Cloyne and Ross",047272001,203,86,14,2,0,8
047182002,ROI small area,"Cork, Cloyne and Ross",047182002,193,90,14,3,2,7
047182001,ROI small area,"Cork, Cloyne and Ross",047182001,139,73,9,1,1,4
047193002,ROI small area,"Cork, Cloyne and Ross",047193002,210,63,13,0,0,3
047062002,ROI small area,"Cork, Cloyne and Ross",047062002,108,102,20,3,0,7
077055001,ROI small area,"Tuam, Limerick and Killaloe",077055001,165,75,25,6,1,7
047209001,ROI small area,"Tuam, Limerick and Killaloe",047209001,195,101,26,11,1,10
067121001,ROI small area,"Tuam, Limerick and Killaloe",067121001,86,52,23,1,0,8
037104001,ROI small area,"Tuam, Limerick and Killaloe",037104001,113,60,17,2,0,2
037116001,ROI small area,"Tuam, Limerick and Killaloe",037116001,113,76,33,6,1,67
037008001/037067001,ROI small area,"Tuam, Limerick and Killaloe",037008001/037067001,118,61,27,3,1,12
037015001,ROI small area,"Tuam, Limerick and Killaloe",037015001,183,132,31,2,0,10
037127001,ROI small area,"Tuam, Limerick and Killaloe",037127001,155,85,27,7,0,7
037020001,ROI small area,"Tuam, Limerick and Killaloe",037020001,58,25,14,0,0,113
067168001/067171002/067171001,ROI small area,"Tuam, Limerick and Killaloe",067168001/067171002/067171001,181,128,39,10,1,33
067125001,ROI small area,"Tuam, Limerick and Killaloe",067125001,157,81,19,1,0,7
067185001,ROI small area,"Tuam, Limerick and Killaloe",067185001,89,70,21,1,0,8
067055005,ROI small area,"Tuam, Limerick and Killaloe",067055005,165,80,22,2,0,17
047005001,ROI small area,"Cork, Cloyne and Ross",047005001,136,77,22,0,0,4
227014001,ROI small area,"Cork, Cloyne and Ross",227014001,217,101,26,4,2,13
217037001,ROI small area,"Cork, Cloyne and Ross",217037001,103,68,16,2,2,4
217109001,ROI small area,"Tuam, Limerick and Killaloe",217109001,225,97,34,3,1,16
217086001/217117001,ROI small area,"Tuam, Limerick and Killaloe",217086001/217117001,253,116,20,4,1,33
217118001,ROI small area,"Tuam, Limerick and Killaloe",217118001,243,106,30,5,1,22
217124001,ROI small area,"Tuam, Limerick and Killaloe",217124001,112,48,24,1,0,5
187021001,ROI small area,"Tuam, Limerick and Killaloe",187021001,205,105,24,3,0,8
067081001/067084001/067084002,ROI small area,"Tuam, Limerick and Killaloe",067081001/067084001/067084002,158,115,23,7,0,15
067199002/067199004,ROI small area,"Tuam, Limerick and Killaloe",067199002/067199004,56,42,17,4,1,6
067109001/067109002,ROI small area,"Tuam, Limerick and Killaloe",067109001/067109002,82,63,24,3,0,12
067182002,ROI small area,"Tuam, Limerick and Killaloe",067182002,61,47,29,2,0,3
067037001,ROI small area,"Tuam, Limerick and Killaloe",067037001,112,73,15,1,1,17
047155001,ROI small area,"Cork, Cloyne and Ross",047155001,167,96,21,5,0,22
047255001,ROI small area,"Cork, Cloyne and Ross",047255001,84,68,15,1,1,16
047146001,ROI small area,"Cork, Cloyne and Ross",047146001,107,66,24,2,0,12
047113001,ROI small area,"Cork, Cloyne and Ross",047113001,135,78,12,6,0,34
047283001,ROI small area,"Cork, Cloyne and Ross",047283001,203,122,26,3,0,16
047095001,ROI small area,"Cork, Cloyne and Ross",047095001,212,82,28,3,0,11
047211001,ROI small area,"Cork, Cloyne and Ross",047211001,207,94,21,3,3,11
047247002,ROI small area,"Cork, Cloyne and Ross",047247002,171,79,24,0,0,14
047247001,ROI small area,"Cork, Cloyne and Ross",047247001,164,82,25,2,0,37
047160003,ROI small area,"Cork, Cloyne and Ross",047160003,177,114,28,4,1,10
047265002,ROI small area,"Cork, Cloyne and Ross",047265002,100,69,15,3,0,9
047082006,ROI small area,"Cork, Cloyne and Ross",047082006,174,101,26,0,0,28
047321001,ROI small area,"Cork, Cloyne and Ross",047321001,138,51,11,2,0,6
047232002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA
047073001,ROI small area,"Cork, Cloyne and Ross",047073001,82,55,27,2,0,3
047104001,ROI small area,"Cork, Cloyne and Ross",047104001,111,57,16,4,0,16
047274003/047274004,ROI small area,"Cork, Cloyne and Ross",047274003/047274004,103,35,14,0,1,9
047126002/047126003/047126004/047126005,ROI small area,"Cork, Cloyne and Ross",047126002/047126003/047126004/047126005,189,97,27,6,0,8
047065002,ROI small area,"Cork, Cloyne and Ross",047065002,101,51,16,3,1,13
047065001,ROI small area,"Cork, Cloyne and Ross",047065001,119,59,22,0,2,19
047137001,ROI small area,"Cork, Cloyne and Ross",047137001,231,143,49,15,2,21
047133001,ROI small area,"Cork, Cloyne and Ross",047133001,135,55,9,1,0,10
047138001,ROI small area,"Cork, Cloyne and Ross",047138001,146,79,28,1,0,43
047217002,ROI small area,"Cork, Cloyne and Ross",047217002,192,78,24,3,0,12
047140004,ROI small area,"Cork, Cloyne and Ross",047140004,210,96,17,6,0,11
047217003,ROI small area,"Cork, Cloyne and Ross",047217003,142,73,30,1,1,21
047085001,ROI small area,"Tuam, Limerick and Killaloe",047085001,224,83,34,4,3,18
047280002,ROI small area,"Cork, Cloyne and Ross",047280002,139,49,18,2,1,1
047022002,ROI small area,"Cork, Cloyne and Ross",047022002,169,84,13,2,0,9
047245001,ROI small area,"Cork, Cloyne and Ross",047245001,155,97,21,3,1,4
047037003,ROI small area,"Cork, Cloyne and Ross",047037003,126,73,16,1,1,0
047273001,ROI small area,"Cork, Cloyne and Ross",047273001,167,80,11,2,0,8
047070001,ROI small area,"Cork, Cloyne and Ross",047070001,98,39,16,4,0,2
047260001,ROI small area,"Cork, Cloyne and Ross",047260001,176,65,12,0,1,2
047273003,ROI small area,"Cork, Cloyne and Ross",047273003,252,106,27,4,1,14
047069001,ROI small area,"Cork, Cloyne and Ross",047069001,122,75,18,1,1,8
047093001,ROI small area,"Cork, Cloyne and Ross",047093001,217,117,28,1,0,10
047194001,ROI small area,"Cork, Cloyne and Ross",047194001,178,77,17,6,0,5
047030001,ROI small area,"Cork, Cloyne and Ross",047030001,118,60,9,3,1,4
047087003,ROI small area,"Cork, Cloyne and Ross",047087003,118,80,24,4,4,6
047184001,ROI small area,"Tuam, Limerick and Killaloe",047184001,224,98,29,1,0,13
047081001,ROI small area,"Tuam, Limerick and Killaloe",047081001,172,76,31,5,1,3
047233002,ROI small area,"Cork, Cloyne and Ross",047233002,235,93,27,2,2,20
047238002,ROI small area,"Cork, Cloyne and Ross",047238002,243,96,30,4,0,9
047305001,ROI small area,"Cork, Cloyne and Ross",047305001,193,102,28,5,0,16
047060002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA
047091001,ROI small area,"Cork, Cloyne and Ross",047091001,189,115,19,4,0,7
047060003,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA
047009002,ROI small area,"Cork, Cloyne and Ross",047009002,141,93,14,0,0,11
047139001,ROI small area,"Cork, Cloyne and Ross",047139001,156,94,32,1,0,33
047091002,ROI small area,"Cork, Cloyne and Ross",047091002,137,87,29,5,0,10
047257001,ROI small area,"Cork, Cloyne and Ross",047257001,99,53,27,3,0,21
047297002,ROI small area,"Cork, Cloyne and Ross",047297002,221,103,20,1,2,25
047316001,ROI small area,"Cork, Cloyne and Ross",047316001,182,69,15,2,0,2
047288001,ROI small area,"Cork, Cloyne and Ross",047288001,160,80,28,3,0,1
047212002,ROI small area,"Cork, Cloyne and Ross",047212002,184,81,28,0,0,20
047059001/047059002/047059003,ROI small area,"Cork, Cloyne and Ross",047059001/047059002/047059003,123,60,14,3,0,2
047001003,ROI small area,"Cork, Cloyne and Ross",047001003,169,84,14,1,0,4
047059004,ROI small area,"Cork, Cloyne and Ross",047059004,158,71,21,1,1,4
047001002,ROI small area,"Cork, Cloyne and Ross",047001002,146,84,17,3,1,1
047112001,ROI small area,"Cork, Cloyne and Ross",047112001,153,65,17,2,0,2
047078001,ROI small area,"Cork, Cloyne and Ross",047078001,287,116,28,6,1,3
047186001,ROI small area,"Cork, Cloyne and Ross",047186001,162,83,14,2,1,0
047186006,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA
047186005,ROI small area,"Cork, Cloyne and Ross",047186005,197,82,16,9,1,3
047221002,ROI small area,"Cork, Cloyne and Ross",047221002,167,68,16,1,1,13
047223001/047223002,ROI small area,"Cork, Cloyne and Ross",047223001/047223002,246,113,18,4,1,13
047269001,ROI small area,"Cork, Cloyne and Ross",047269001,244,71,18,2,1,9
047032001,ROI small area,"Cork, Cloyne and Ross",047032001,173,77,15,1,0,2
047025001,ROI small area,"Cork, Cloyne and Ross",047025001,256,111,20,3,0,18
077060004,ROI small area,"Tuam, Limerick and Killaloe",077060004,56,24,9,2,2,5
077036001/077036003,ROI small area,"Tuam, Limerick and Killaloe",077036001/077036003,54,48,12,3,0,4
077013001,ROI small area,"Tuam, Limerick and Killaloe",077013001,49,34,12,0,0,7
077075001,ROI small area,"Tuam, Limerick and Killaloe",077075001,95,57,12,1,2,16
077131001,ROI small area,"Tuam, Limerick and Killaloe",077131001,105,59,22,3,0,5
077035004,ROI small area,"Tuam, Limerick and Killaloe",077035004,106,65,14,4,0,21
077045004,ROI small area,"Tuam, Limerick and Killaloe",077045004,128,70,13,4,0,8
077105001,ROI small area,"Tuam, Limerick and Killaloe",077105001,106,52,14,1,0,4
077050001,ROI small area,"Tuam, Limerick and Killaloe",077050001,32,21,4,0,0,0
077124001,ROI small area,"Tuam, Limerick and Killaloe",077124001,61,32,6,0,0,0
077078002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
077078007/077078008,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
077057001,ROI small area,"Tuam, Limerick and Killaloe",077057001,112,61,11,2,0,1
077134001,ROI small area,"Tuam, Limerick and Killaloe",077134001,117,104,31,8,1,4
077006001,ROI small area,"Tuam, Limerick and Killaloe",077006001,60,29,10,1,0,1
077061004,ROI small area,"Cork, Cloyne and Ross",077061004,118,47,10,3,1,11
077061001/077061003,ROI small area,"Tuam, Limerick and Killaloe",077061001/077061003,67,42,9,2,0,4
077070002/077070003,ROI small area,"Tuam, Limerick and Killaloe",077070002/077070003,97,32,14,3,1,8
077038002,ROI small area,"Tuam, Limerick and Killaloe",077038002,109,60,15,0,1,7
047008001,ROI small area,"Cork, Cloyne and Ross",047008001,114,87,23,5,0,35
077080001,ROI small area,"Cork, Cloyne and Ross",077080001,73,57,18,3,0,7
077097004,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
077079001,ROI small area,"Cork, Cloyne and Ross",077079001,103,62,11,0,1,16
077089010,ROI small area,"Tuam, Limerick and Killaloe",077089010,167,93,16,3,1,25
077058001,ROI small area,"Tuam, Limerick and Killaloe",077058001,86,39,16,1,2,5
077058002,ROI small area,"Tuam, Limerick and Killaloe",077058002,157,51,19,1,0,5
077072001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
077047001,ROI small area,"Tuam, Limerick and Killaloe",077047001,73,44,7,2,1,41
077097002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
077101002,ROI small area,"Tuam, Limerick and Killaloe",077101002,325,260,64,2,0,30
077053001,ROI small area,"Tuam, Limerick and Killaloe",077053001,185,77,20,7,0,14
077033003,ROI small area,"Tuam, Limerick and Killaloe",077033003,155,75,15,1,0,4
077137001,ROI small area,"Tuam, Limerick and Killaloe",077137001,139,81,19,2,0,9
077082009,ROI small area,"Tuam, Limerick and Killaloe",077082009,174,85,22,3,0,5
077116002,ROI small area,"Tuam, Limerick and Killaloe",077116002,101,70,16,0,0,3
077116001,ROI small area,"Tuam, Limerick and Killaloe",077116001,70,49,8,5,0,8
077137002,ROI small area,"Tuam, Limerick and Killaloe",077137002,108,70,9,1,0,6
077022001,ROI small area,"Tuam, Limerick and Killaloe",077022001,76,51,16,1,0,9
077012003,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
047225002,ROI small area,"Cork, Cloyne and Ross",047225002,60,47,19,3,2,9
047174001,ROI small area,"Cork, Cloyne and Ross",047174001,218,107,35,1,1,14
047292001,ROI small area,"Cork, Cloyne and Ross",047292001,109,40,16,2,4,2
037098001,ROI small area,"Tuam, Limerick and Killaloe",037098001,120,53,16,2,1,1
037038001,ROI small area,"Tuam, Limerick and Killaloe",037038001,140,93,25,2,3,3
037079001,ROI small area,"Tuam, Limerick and Killaloe",037079001,154,124,30,3,1,2
037071001,ROI small area,"Tuam, Limerick and Killaloe",037071001,151,88,22,4,0,7
067110001/067110002,ROI small area,"Tuam, Limerick and Killaloe",067110001/067110002,104,60,45,4,0,3
067186001/067186003/067186004,ROI small area,"Tuam, Limerick and Killaloe",067186001/067186003/067186004,74,50,22,4,1,8
067197001,ROI small area,"Tuam, Limerick and Killaloe",067197001,118,81,32,4,0,13
117049001/117076001,ROI small area,"Kilmore, Elphin and Ardagh",117049001/117076001,203,118,36,8,3,4
117031001/117034001,ROI small area,"Kilmore, Elphin and Ardagh",117031001/117034001,81,55,25,2,0,4
027075001/027088001,ROI small area,"Kilmore, Elphin and Ardagh",027075001/027088001,97,61,27,5,0,1
117050003,ROI small area,"Kilmore, Elphin and Ardagh",117050003,101,61,20,1,0,1
027091001,ROI small area,"Kilmore, Elphin and Ardagh",027091001,205,93,19,2,1,10
077145001/077145003,ROI small area,"Tuam, Limerick and Killaloe",077145001/077145003,115,87,20,6,0,21
077165003,ROI small area,"Tuam, Limerick and Killaloe",077165003,38,29,16,0,1,1
077159002,ROI small area,"Tuam, Limerick and Killaloe",077159002,71,48,13,3,0,7
077165006,ROI small area,"Tuam, Limerick and Killaloe",077165006,69,25,10,3,0,2
077045001/077045002,ROI small area,"Tuam, Limerick and Killaloe",077045001/077045002,91,43,8,0,2,9
077166003,ROI small area,"Tuam, Limerick and Killaloe",077166003,51,41,16,1,0,26
077074001/077074002,ROI small area,"Tuam, Limerick and Killaloe",077074001/077074002,96,50,11,3,0,3
077132002,ROI small area,"Tuam, Limerick and Killaloe",077132002,82,54,16,0,1,3
077108003,ROI small area,"Tuam, Limerick and Killaloe",077108003,72,45,11,4,0,2
077082005,ROI small area,"Tuam, Limerick and Killaloe",077082005,154,85,23,2,0,3
077112001,ROI small area,"Tuam, Limerick and Killaloe",077112001,72,56,16,1,1,3
077112002,ROI small area,"Tuam, Limerick and Killaloe",077112002,82,34,12,1,0,2
047119001/047119005,ROI small area,"Cork, Cloyne and Ross",047119001/047119005,38,28,5,0,0,2
047119002/047119003/047119004,ROI small area,"Cork, Cloyne and Ross",047119002/047119003/047119004,50,51,19,3,1,8
047068002,ROI small area,"Cork, Cloyne and Ross",047068002,47,43,16,2,0,2
047213001/047213003/047213004,ROI small area,"Cork, Cloyne and Ross",047213001/047213003/047213004,97,51,19,1,0,4
047213002,ROI small area,"Cork, Cloyne and Ross",047213002,109,75,15,1,2,6
047163001/047163004,ROI small area,"Cork, Cloyne and Ross",047163001/047163004,50,22,6,0,0,6
047289002,ROI small area,"Cork, Cloyne and Ross",047289002,52,39,6,2,1,2
047116003/047116004,ROI small area,"Cork, Cloyne and Ross",047116003/047116004,62,62,12,2,0,5
077060001/077060002/077060003,ROI small area,"Tuam, Limerick and Killaloe",077060001/077060002/077060003,47,32,14,0,1,1
077036004/077036005/077036006,ROI small area,"Tuam, Limerick and Killaloe",077036004/077036005/077036006,55,31,5,1,0,2
047200001,ROI small area,"Cork, Cloyne and Ross",047200001,82,45,5,0,0,10
047200002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA
047123002,ROI small area,"Cork, Cloyne and Ross",047123002,101,51,18,1,0,2
047123001/047123004,ROI small area,"Cork, Cloyne and Ross",047123001/047123004,78,47,18,0,0,3
047188001/047188002,ROI small area,"Cork, Cloyne and Ross",047188001/047188002,54,35,18,1,0,1
077081001/077081003,ROI small area,"Cork, Cloyne and Ross",077081001/077081003,46,35,19,1,0,4
047312001/047312003/047312004,ROI small area,"Cork, Cloyne and Ross",047312001/047312003/047312004,62,54,8,3,1,1
047295001/047295009,ROI small area,"Cork, Cloyne and Ross",047295001/047295009,92,62,21,1,0,12
047289001,ROI small area,"Cork, Cloyne and Ross",047289001,45,35,8,2,0,6
047287001,ROI small area,"Cork, Cloyne and Ross",047287001,99,55,18,3,2,4
047144001/047144002,ROI small area,"Cork, Cloyne and Ross",047144001/047144002,162,58,19,3,0,9
047141001,ROI small area,"Cork, Cloyne and Ross",047141001,100,56,19,1,1,10
047157001/047157002,ROI small area,"Cork, Cloyne and Ross",047157001/047157002,101,79,22,2,2,15
047024004/047024007,ROI small area,"Cork, Cloyne and Ross",047024004/047024007,84,55,19,0,1,3
047024001,ROI small area,"Cork, Cloyne and Ross",047024001,85,67,13,3,1,3
047189001,ROI small area,"Cork, Cloyne and Ross",047189001,112,58,20,0,1,10
047003001,ROI small area,"Cork, Cloyne and Ross",047003001,169,77,34,7,1,11
047094001,ROI small area,"Cork, Cloyne and Ross",047094001,102,53,18,2,1,9
047021002,ROI small area,"Cork, Cloyne and Ross",047021002,61,42,11,7,0,7
047061001,ROI small area,"Cork, Cloyne and Ross",047061001,160,97,33,5,1,2
077081002,ROI small area,"Cork, Cloyne and Ross",077081002,80,40,8,1,1,10
077006002,ROI small area,"Cork, Cloyne and Ross",077006002,49,32,11,0,0,0
047002005,ROI small area,"Cork, Cloyne and Ross",047002005,65,42,19,0,1,6
047187002/047187003,ROI small area,"Cork, Cloyne and Ross",047187002/047187003,74,66,25,1,0,0
047187006,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA
047187001,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA
047165001,ROI small area,"Cork, Cloyne and Ross",047165001,172,96,30,5,0,5
047160004/047160006,ROI small area,"Cork, Cloyne and Ross",047160004/047160006,132,62,21,1,1,5
047296002,ROI small area,"Tuam, Limerick and Killaloe",047296002,164,66,15,3,0,3
047315003,ROI small area,"Cork, Cloyne and Ross",047315003,107,63,16,1,1,3
047296001,ROI small area,"Cork, Cloyne and Ross",047296001,223,95,25,1,2,15
047315002,ROI small area,"Cork, Cloyne and Ross",047315002,146,51,7,3,1,10
077066002,ROI small area,"Tuam, Limerick and Killaloe",077066002,153,43,8,0,0,4
047046002,ROI small area,"Tuam, Limerick and Killaloe",047046002,62,47,13,3,0,50
047046001,ROI small area,"Tuam, Limerick and Killaloe",047046001,48,19,5,1,0,110
047043002,ROI small area,"Tuam, Limerick and Killaloe",047043002,136,91,27,2,1,10
047285001,ROI small area,"Cork, Cloyne and Ross",047285001,72,69,13,2,1,5
127113001,ROI small area,"Cork, Cloyne and Ross",127113001,241,100,27,2,2,11
047009001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
127029001,ROI small area,"Cork, Cloyne and Ross",127029001,85,38,12,1,0,6
047314001,ROI small area,"Cork, Cloyne and Ross",047314001,110,78,14,3,0,9
047217001,ROI small area,"Cork, Cloyne and Ross",047217001,153,80,18,2,1,19
037027001,ROI small area,"Tuam, Limerick and Killaloe",037027001,138,59,13,2,1,143
037107002,ROI small area,"Tuam, Limerick and Killaloe",037107002,89,65,16,2,0,2
037063001,ROI small area,"Tuam, Limerick and Killaloe",037063001,153,96,29,2,1,7
037002002,ROI small area,"Tuam, Limerick and Killaloe",037002002,76,81,19,1,1,9
037123001,ROI small area,"Tuam, Limerick and Killaloe",037123001,135,71,21,0,0,9
037032001,ROI small area,"Tuam, Limerick and Killaloe",037032001,139,83,21,2,0,7
037117001,ROI small area,"Tuam, Limerick and Killaloe",037117001,148,111,33,3,0,22
037105001,ROI small area,"Tuam, Limerick and Killaloe",037105001,153,114,28,4,3,11
037062001,ROI small area,"Tuam, Limerick and Killaloe",037062001,111,89,11,2,1,9
037082001,ROI small area,"Tuam, Limerick and Killaloe",037082001,114,45,12,2,0,2
037007001,ROI small area,"Tuam, Limerick and Killaloe",037007001,155,111,19,4,1,10
037026001,ROI small area,"Tuam, Limerick and Killaloe",037026001,241,109,23,5,1,2
037050003,ROI small area,"Tuam, Limerick and Killaloe",037050003,151,111,26,1,0,7
037096003,ROI small area,"Tuam, Limerick and Killaloe",037096003,231,114,29,1,0,3
037055001,ROI small area,"Tuam, Limerick and Killaloe",037055001,183,98,32,1,2,18
037050002,ROI small area,"Tuam, Limerick and Killaloe",037050002,268,130,39,7,2,12
037141003,ROI small area,"Tuam, Limerick and Killaloe",037141003,195,94,22,3,1,7
127040001,ROI small area,"Tuam, Limerick and Killaloe",127040001,210,91,23,1,1,1
037053003,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
037085002,ROI small area,"Tuam, Limerick and Killaloe",037085002,231,100,25,4,1,13
037009004,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA
037036001,ROI small area,"Tuam, Limerick and Killaloe",037036001,222,57,15,5,1,7
127026012,ROI small area,"Tuam, Limerick and Killaloe",127026012,249,128,32,7,0,57
127027010,ROI small area,"Tuam, Limerick and Killaloe",127027010,237,116,29,4,1,26
